Horodateur;Année d'obtention de votre diplôme d'ambulancier;Département de formation ;Quel est le type d'activité de votre entreprise ? (Plusieurs réponses possibles);Quel est le secteur d'activité de votre entreprise ?;Combien d'ADE/CCA sont employés par votre entreprise;Combien d'auxiliaires sont employés par votre entreprise;Disposez-vous d'un jeu de tenues professionnelles identifiées :  Nom de l'entreprise ?;;De quelle couleur sont-elles ?;Avez-vous des protocoles d'hygiène dans votre entreprise ? ;;Si oui, sont-ils en adéquation avec l'enseignement réalisé à l'IFA ? ;Merci de justifier votre réponse ;Concernant le rythme de décontamination du matériel et du véhicule sanitaire,  réalisez-vous :;;Disposez-vous d'un lecteur de glycémie, appareil Dextro ?;;;;;Disposez-vous d'appareils permettant la réalisation d'électro-cardiogramme  (ECG) ? ;;;Disposez-vous de matériel pour réaliser des aspirations trachéales (dans la trachée, la canule de trachéotomie) ?;;;Vous disposez dans votre véhicule : (plusieurs réponses possibles);Lorsqu'un patient est à bord du véhicule sanitaire est-ce l'auxilaire qui conduit : ;;Lors d'une intervention, la suite de la prise en charge nécessite la pose d'une voie veineuse périphérique;;Lors d'une prise en charge d'un patient à domicile  il vous manque des informations pour la prise en charge de votre patient, hors celui-ci est porteur d'un courrier remis par son médecin traitant pour le service d'accueil .;Lors d'une admission, vous occupez-vous de l'entrée administrative de votre patient ( vous ou votre binôme ) ? ;;Dans les établissements de santé existe-t-il un guichet avec accès prioritaire ambulancier pour réaliser les démarches administratives de l'admission;;;;;;Lors d'un transfert, vous prenez en charge un patient porteur d'un pousse-seringue éléctrique;;;;
04/10/2013 17:34:48;2012;Cote d'or;VSL, Ambulance de catégorie C;Zone urbaine;3;2;Oui;Oui;bleu et blanc;Non;;;;Non;Toutes les semaines ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
04/10/2013 17:40:11;2011;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;8;7;Oui;Oui;Blanches;Oui;Toujours;Oui;;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Malaises, chutes inexpliquées, diabète avéré, inconscient, alcoolémie;Non;;Oui;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
04/10/2013 18:16:26;2013;21;VSL,  ASSU;Zone rurale et urbaine;7;2;Oui;Oui;Blanc et Bleu;Oui;Toujours;Non;Par manque de temps entre les patients;Non;Tous les jours, Toutes les semaines ;Non;Non;Non;;;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;Appel 15;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Oui;Votre entreprise ;;;
04/10/2013 18:21:58;2013;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;8;6;Oui;Oui;Bleu et blanche;Oui;Toujours;Oui;Nous avons exactement les mêmes protocoles qu'a l'IFA, inspirés des textes officiels autant pour les véhicules, que pour le matériel ou l'entreprise en elle même. ;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Selon les antécédents du patient ou ses symptomes.;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Si le médecin est parti je l'appelle directement et lui explique que je suis soumis au secret professionnel et que pour une bonne prise en charge je voudrai avoir accès a des infos complementaires, se trouvant soit dans le courrier soit transmise a l'oral. ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
04/10/2013 18:31:14;2012;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;20;20;Oui;Oui;bleue marine;Non;Parfois;;l'entreprise ne respecte pas du tout les regles d'hygienne par faute de temps et d'organisation les vehicule ne sont pas laves par lequipe qui les utilises mais par dautre et ils sont lave int ext mais pas comme on a appris et le plus choquant c qu'aucune desinf totale n'est effectuee ;Oui;Tous les jours;Oui;Non;Oui;De façon spontanée dans certaines situations ;diabete type 2;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;croix rouge perso;;;
04/10/2013 18:34:39;2013;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;13;4;Oui;Oui;Bleu et blanche;Oui;Toujours;Oui;Je pratique comme je l ai appri en cours donc oui;Oui;Tous les jours;Oui;Oui;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous n'ouvrez pas le courrier;Oui;Les deux ;Parfois;;;;;;Non;Votre entreprise ;;;
04/10/2013 18:47:11;2013;38;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;14;12;Oui;Oui;bas blanc et haut bleu;Oui;Toujours;Oui;;Oui;Toutes les semaines ;Non;Oui;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
04/10/2013 18:58:31;2011;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;15;20;Oui;Oui;Blanche ;Oui;Parfois;Oui;Les grands principes de l'hygiène sont respectés. Nous avons le matériel nécessaire a disposition , ne manque que le temps nécessaire a effectuer des désinfections correctes;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée régulièrement ;Pour quasiment chaque bilan fait au médecin régulateur j'utilise le lecteur de glycémie ;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Non;;;;
04/10/2013 19:02:34;2012;isere;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;6;5;Oui;Oui;bleu et blanc;Oui;Toujours;Non;;Oui;Tous les jours;Non;Oui;Non;;;Non;;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
04/10/2013 19:02:52;2012;isere;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;6;5;Oui;Oui;bleu et blanc;Oui;Toujours;Non;;Oui;Tous les jours;Non;Oui;Non;;;Non;;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
04/10/2013 19:04:49;2012;69;Ambulance de catégorie C;Zone rurale et urbaine;4;1;Non;;blanc et bleu;Oui;Parfois;Non;"protocole école trop lourd / à la réalité du terrain
Manque de matériel spécifique parfois";Oui;Tous les jours;Non;Oui;Non;;;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;;Non;;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Non;;;;
04/10/2013 19:12:11;2008;67;VSL, Ambulance de catégorie C;Zone rurale;2;6;Oui;Oui;bleu;Oui;Toujours;Non;;Oui;tous les mois ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;en cas de besoin;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
04/10/2013 19:28:59;2012;38;VSL, Ambulance de catégorie C;Zone rurale et urbaine;3;1;Oui;Oui;bleu et blanc;Oui;Toujours;Oui;Pour info , j ai passé l année derniere le dea a Grenoble ( afin de dépanner mon mari au sein de sa société) MAIS etant deja infirmière je n ai pas suivi la formation en entier . Mes reponses seront donc un peu tronquées .;Oui;Tous les jours;Oui;Non;Oui;De façon spontanée régulièrement , Sur demande d'un médecin, d'un infirmier ou du SMUR;garde préfectoral;Non;;Non;Oui;Non;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Oui;poser la perf sur demande du médecin regulateur . je suis aussi infirmière .;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Oui;ifsi de chambery;;;
04/10/2013 19:39:15;2009;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;4;12;Oui;Oui;bleu et blanc;Non;;;;Oui;Tous les jours;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre entreprise ;;;
04/10/2013 19:44:15;2012;67;VSL, Ambulance de catégorie C;Zone rurale et urbaine;5;6;Oui;Oui;Bleu;Non;;;;Non;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Malaises, personnes diabétiques.;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;La pmt doit indiquer les directives concernant le transport du patient, en cas de doute sur son état et comme je ne dispose pas d'une formation de soignant (une décompensation cardiaque, je ne sais pas ce que c'est) j'appelle le médecin ou le 15 mais je n'ouvre le courrier que sur demande du 15.;Oui;Les deux ;Parfois;;;;;;Non;;;;
04/10/2013 19:49:30;2013;67;Ambulance de catégorie C;Zone rurale;6;4;Oui;Oui;BLEUE;Oui;Toujours;Oui;;Oui;Tous les jours;Non;Oui;Non;;;Non;Non;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
04/10/2013 20:33:26;2012;38;VSL, Ambulance de catégorie C;Zone rurale;5;1;Oui;Oui;bleu;Oui;Toujours;Oui;Repris sur les meme bases;Oui;Toutes les semaines ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;personne diabetique;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Toujours ;;;;;;Non;;;;
04/10/2013 20:36:56;2012;38;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;13;13;Oui;Oui;Blanches;Oui;Parfois;Oui;;Non;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Coup de fatigue de personnes diabetiqu;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;;;
04/10/2013 20:44:02;2013;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;6;0;Oui;Oui;blanc bleu;Oui;Toujours;Oui;désinfection matériel médical, cellules sanitaire, hygiène personnel (solution hydro alcoolique);Oui;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;contact biologiques, infections;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Oui;j'attend la demande du médecin;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
04/10/2013 20:49:28;2009;67;VSL, Ambulance de catégorie C;Zone rurale;3;2;Oui;Oui;blanche;Non;;;;Oui;Toutes les semaines ;Non;Oui;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
04/10/2013 21:02:21;2013;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;14;6;Oui;Oui;bleu marine et orange;Non;;;pas de recommandations en arrivant dans cette entreprise mais on est 5 de la session 2013 et on applique les méthodes que nous a enseigné notre IFA par conséquent on constate une amélioration de l'hygiène, on est en train de faire évoluer les mentalités des anciens, ce qui est encourageant.;Non;Tous les jours;Oui;Non;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;somnolence, désorientation;Non;;Non;Oui;Non;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;sauf si appel sos med,meilleur pec ;Oui;Les deux ;Parfois;;;;;;Non;;;;
04/10/2013 21:07:55;2012;67;Ambulance de catégorie C;Zone urbaine;5;3;Oui;Oui;bleues et jaunes;Oui;Toujours;Oui;;Oui;Tous les jours;Non;Oui;Non;;;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Jamais;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Non;;;;
04/10/2013 21:28:45;2008;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;11;12;Oui;Oui;bleu;Oui;Toujours;Non;pas de désinfection 3 temps avec eau de javel.;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;malaises ; diabétiques ; intoxications;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 21:34:07;2008;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;11;12;Oui;Oui;bleue;Oui;Toujours;Non;;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée régulièrement ;;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
04/10/2013 21:47:49;2012;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;21;24;Oui;Oui;blanche;Oui;Parfois;Oui;;Non;Toutes les semaines ;Oui;Non;Oui;De façon spontanée dans certaines situations ;;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
04/10/2013 22:08:45;2012;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;12;5;Oui;Oui;BLEU MARINE;Oui;Toujours;Oui;LE MEME PROTOCOLE ;Oui;Tous les jours;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous n'ouvrez pas le courrier;Oui;Les deux ;Toujours ;;;;;;Oui;Votre entreprise ;;;
04/10/2013 23:14:21;2013;38;VSL,  ASSU;Zone rurale et urbaine;9;4;Oui;Oui;bleu;Oui;Toujours;Oui;;Oui;Tous les jours;Non;Oui;Non;;;Non;Non;Oui;Non;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre entreprise ;;;
05/10/2013 00:45:56;2012;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;40;15;Oui;Oui;Bleue;Oui;Toujours;Oui;Protocole de nettoyage hebdomadaire et quotidien. Désinfection complète après chaque transport à risque.;Non;Tous les jours, Toutes les semaines ;Oui;Non;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;agitation, sueurs, toutes les situations permettant à un médecin régulateur de faire un diagnostic différentiel entre un avc et hypoglycémie.;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 01:00:33;2013;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;+-60;+-60;Oui;Non;blanche;Oui;Toujours;Oui;;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée régulièrement ;;Non;Non;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 06:00:37;2012;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;5;9;Oui;Oui;Bleu marine / blanc;Oui;Toujours;Oui;Nettoyage et désinfection du véhicule quotidien, avec vérification du matériel ;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée régulièrement ;Malaises, chutes, OH, diabétique, patients atteint d'un cancer, TS;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Smur;;;
05/10/2013 07:16:37;2013;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;10;10;Oui;Oui;bleu et jaune fluo ou blanc ;Oui;Toujours;Oui;Nettoyer / désinfection et aéré chaque jours et désinfection total une fois par semaine ;Oui;Tous les jours, Toutes les semaines ;Oui;Non;Non;;le patient lui même...;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 08:07:42;2011;67;VSL,  ASSU, Ambulance de catégorie C;Zone urbaine;40ene environ;40ene environ;Oui;Oui;Pantalon bleu polo blanc;Oui;Toujours;Oui;"Qu'il s'agisse d'une desinfection journaliere, periodique ou a l'occasion d'un patient un isolement.
Tous les gestes, les procédés, les methodes sont respecter et appliquer selon l'enseignement effectuer a l'ifa.
Qu'il s'agisse d'un simple nettoyage entre chaque patient jusqu'a la desinfection en 3 temps au chlore.";Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Malaise, diabétique, personne somnolente ou OH;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
05/10/2013 09:22:19;2009;67000;Ambulance de catégorie C;Zone rurale et urbaine;11;2;Oui;Oui;bleu;Oui;Parfois;Oui;;Non;Tous les jours;Non;Oui;Non;;;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;;;
